word value_1 value_2 value_3 value_4 value_5 value_6 value_7 value_8 value_9 value_10 value_11 value_12 value_13 value_14 value_15 value_16 value_17 value_18 value_19 value_20 value_21 value_22 value_23 value_24 value_25 value_26 value_27 value_28 value_29 value_30 value_31 value_32 value_33 value_34 value_35 value_36 value_37 value_38 value_39 value_40 value_41 value_42 value_43 value_44 value_45 value_46 value_47 value_48 value_49 value_50
what 0.1389525 -1.1771835 -0.4654633 0.015290491 1.0536749 0.05712223 -0.52460545 -0.2153703 -0.42048085 1.0538563 -0.44030204 0.7971287 -1.277023 -0.94732195 1.0128379 0.5704871 -1.813568 0.16323322 -0.026606914 -0.20742801 1.7135068 0.122779734 -0.35794705 -1.358808 0.4973545 -1.3015522 -0.8810088 0.3817578 -0.26971295 -0.047336828 1.6668665 -0.16191524 0.24108376 -0.45569915 0.7104556 -0.20754537 1.1597816 1.5737535 -0.28442505 0.59434015 -0.7319544 0.7154204 -1.3468697 0.980625 1.9425311 0.7891227 0.15061581 0.17545177 -0.697778 0.12861809
this 0.8251533 -0.5251988 -0.71742237 -1.2715906 0.41705322 0.09645137 0.9434889 1.4288574 -0.3348204 0.20414998 -1.1764697 0.65806955 1.2612467 -0.7943161 0.70198154 1.6450483 -1.6908582 0.5256705 0.17576104 -0.34285852 0.23046018 0.9242215 0.3070003 0.59844697 0.46804726 0.5344472 0.6173491 -0.65867937 1.5822476 -0.114459 -0.4081189 -1.5155048 -0.38247535 0.4386834 0.31347653 0.45713338 0.32935163 0.09147282 -0.26882622 -0.74770737 -0.9980828 -0.28889683 -0.18244083 -0.3060884 0.6896685 0.8144591 1.0279092 0.8483213 -1.2735902 -1.6539129
little 0.9264611 -1.3048593 -0.33497372 0.5978665 1.2879239 -0.49459714 0.27841213 0.5921422 1.4788694 -0.39602324 1.1516316 0.6072831 -0.21395075 -0.4207855 0.5013946 0.43894106 0.005527445 -0.28535196 -0.9038868 -0.29536837 -0.23124477 1.6173491 0.62686133 0.1268068 0.10527996 0.57911384 1.016404 -0.27078077 -1.0821601 1.0946742 -1.9665023 -1.1381427 1.0986011 -0.8630497 2.105089 0.6887891 0.9287082 0.8511923 1.7957896 1.1153492 -0.49857333 0.48203924 1.186691 -0.31176993 -1.2384853 -2.00663 -1.3852115 -1.2608576 -1.4038163 1.539574
he 0.11344518 -2.1092722 -0.8874716 0.227141 -0.5969686 -1.8314061 -0.33516496 -0.008092202 -0.19372821 -0.40403163 0.043610737 -0.032858934 -1.2789446 1.0888604 -1.7920004 0.77262944 -0.30591756 0.42895886 1.5106798 0.87285197 -0.5721512 -0.72421056 0.8650331 -0.36738268 1.4007214 -0.26693073 0.7228133 -1.0988295 1.3984532 -0.8915068 0.6807376 1.2564237 -0.71244687 1.4159201 -0.9219247 -1.190155 -0.67451566 0.81355643 0.7969132 -1.7775503 -0.5898148 1.7883672 -1.132498 0.6567817 0.3563911 -0.168392 -0.6425122 1.6716756 0.119569376 -0.51900774
out 0.13694008 -0.574437 -0.18919064 -0.52314836 1.178214 0.16147023 -1.2041035 1.0343822 0.862125 -0.33216938 -0.9027044 1.3888227 -0.2725832 0.6742309 0.3554848 0.09735743 2.181851 -0.94591045 0.009544259 0.7256064 -0.06957235 -1.8337101 -1.2017547 0.6660174 0.166271 -0.5999974 -0.8514874 0.6225811 -0.80632913 -1.7303271 0.43726322 -0.7271732 -0.19759247 1.5755228 -0.8673911 -1.1565555 0.4835312 1.3600261 -0.48038068 1.5163895 0.52671784 0.13964371 -0.19491321 -0.82652736 -0.9407154 0.2863579 1.3851652 -0.81271935 -0.73021007 -0.8130322
is 0.3009917 -0.8559426 1.1697592 0.19740857 0.85787636 0.026560696 -2.1540203 -1.2055099 0.5884137 0.34187835 -1.1123675 -0.10136678 1.0464219 -0.5300408 0.3723614 -0.60333294 1.1562934 -0.61443686 -0.49742076 -0.5047111 -0.9002754 -0.6122878 -0.4464143 0.90312076 0.41024333 -1.5735917 -0.8089219 -0.09034297 0.5238357 -1.4512993 0.8288285 -0.1376519 1.880807 0.18268743 0.017721819 0.20790094 0.30063647 0.9391657 -0.0037912857 0.9988654 -1.5396899 -1.0579749 0.5626525 -0.32357228 -0.27900428 -0.31974733 0.44715384 0.30788493 0.15424791 -1.4853534
one -0.23581415 -0.47932398 -1.5626838 -1.4717404 0.6836492 -0.3910779 0.47936302 1.4146472 1.4989492 -2.280619 1.0447286 1.5389534 -0.45481303 -0.37504983 0.5057749 -0.1675047 0.6050534 1.7258368 -0.06513537 0.48505256 0.39177835 0.56600106 -0.99833035 0.79650575 -0.40313455 0.918527 0.7213015 -1.6780125 -0.67142355 0.8666734 0.9116307 -0.60448307 0.8923936 0.8906303 0.31423178 -0.70066166 0.7922967 0.06482757 -0.8373347 0.7208983 -0.5452613 1.7307936 -1.4289165 -0.13044973 0.8413042 -0.4109245 0.57170254 0.2193068 -0.563652 -0.7886095
down 0.48690826 -0.3433249 0.25209364 -0.35195205 0.28529313 0.05643624 -0.34241998 0.7799974 0.28579238 -1.5083592 0.061612483 -0.37801966 -0.5614599 0.29404995 -1.1137979 -0.263404 0.850261 -1.3066856 -1.643571 0.66828585 0.8694776 0.047061317 -0.30214658 0.09615345 0.2596028 0.044258628 1.5416822 0.5796356 0.87029254 -0.20773177 -0.06839258 -0.42783606 -1.6633929 0.58658695 -0.32336196 -1.216059 1.2691259 1.0164915 1.5462028 -0.4611585 -0.38883084 0.8780909 -1.5363524 -1.0912741 -1.3328165 -1.00074 0.30202785 0.95280564 0.07631102 -0.45956448
up 0.3345216 0.015770895 1.0432508 -0.6583038 0.42363518 -0.5747916 0.2801452 -0.121215396 -0.19539323 -0.97654736 -1.9868091 1.0148239 -0.6681889 0.3188684 -0.9923702 0.13267031 0.9484853 -0.4199769 -0.006628976 -0.005920825 0.3769952 -0.91045666 0.26139072 -0.76119196 -0.91902685 0.28009373 1.2292658 1.1190687 -0.16048397 -1.5441083 0.1860132 0.16608104 -0.23119965 0.2928906 0.0846773 -0.6565576 -0.18642482 0.8825789 1.8289293 0.9490098 0.8020855 0.9904304 -0.8459113 -0.088506594 -0.58495504 -1.443715 -0.239018 0.6109501 -0.252317 -0.412847
there 0.68906987 -2.356455 -1.0494043 -0.9912837 -0.3632354 -0.8994207 -1.2130686 0.8107406 -0.6056721 0.9894086 0.40978256 0.875493 -1.3026396 -0.2379929 -0.6130903 0.35787275 -1.0005646 0.7520932 -0.5446928 0.40710568 1.0478235 -0.50985557 -1.1680315 -0.044321816 0.3900052 -1.3402729 0.22331773 0.5380258 1.7532992 1.1041752 1.3496472 -0.24023613 1.3085507 0.058851134 0.5401637 -0.13977572 0.596269 0.57127357 -0.45301935 -1.8119057 0.11185906 1.3903315 0.69248736 -0.90567166 1.8593764 0.3592816 0.12997366 -0.601282 -0.60657203 1.7373596
