words value_1 value_2 value_3 value_4 value_5 value_6 value_7 value_8 value_9 value_10 value_11 value_12 value_13 value_14 value_15 value_16 value_17 value_18 value_19 value_20 value_21 value_22 value_23 value_24 value_25 value_26 value_27 value_28 value_29 value_30 value_31 value_32 value_33 value_34 value_35 value_36 value_37 value_38 value_39 value_40 value_41 value_42 value_43 value_44 value_45 value_46 value_47 value_48 value_49 value_50
what 0.37259653 -0.22870158 -0.007878061 0.23724322 0.44874886 0.40679342 0.63036853 0.20025457 -0.051391464 0.5075414 -0.2174198 0.61002177 0.62204313 -0.5111529 -0.374682 0.54768145 0.71951216 -0.6177233 -0.44192603 -0.17427346 0.16009948 -0.3649909 0.122613505 -0.45246348 0.05511397 -0.49679196 0.24377781 0.06182483 0.7264764 -0.07850189 -0.04772062 -0.06253528 0.16880204 -0.043419734 0.42270333 -0.385786 -0.43811724 0.6482997 -0.20751962 0.053534877 -0.18144225 0.008340252 0.13401431 0.598965 -0.00839079 0.13847251 0.32365146 -0.34809068 0.39894027 -0.025505988
this -0.22301494 0.51544785 0.044757698 -0.13824913 0.022328062 0.017823955 0.00483071 0.03422604 0.32477346 0.06284887 -0.20158473 -0.5635223 -0.25782478 -0.10446618 0.21888351 -0.13594899 0.88020563 -0.07241176 0.8651755 -0.5685459 -0.07089653 -0.34600124 0.032438047 -0.8832807 -0.32254884 -0.3640909 -0.13045654 -0.055324893 0.1499987 -0.2526272 0.20452364 -0.11104355 -0.036492143 0.14799677 0.18133132 -0.28807792 -0.5889226 0.26960897 -0.09406175 -0.11203282 0.11689279 -0.090585954 -0.406152 -0.04408269 0.3933289 0.34348604 0.18276991 0.29871464 0.29150796 0.48052382
little -0.1698617 0.64661646 -0.01036462 -0.13668743 -0.082350254 1.1685716 -0.23436818 0.33587006 -0.42271528 0.023725592 0.61310256 -0.41087344 -0.12157489 -0.31045175 0.48617542 -0.4394587 0.083802775 -0.45757443 0.070958234 0.414711 -0.46620074 0.4058535 -0.34520963 0.016506705 0.08902191 -0.6229044 0.5001623 -0.34051183 0.7426758 -0.024195276 0.22121288 -0.16938148 0.6707552 0.24382594 -0.023147823 0.12819408 0.4064444 -0.2184628 -0.10609358 -0.73909116 -0.37729645 0.5825435 0.06000976 0.5600716 0.47481635 -0.10088749 0.5911081 -0.10516429 0.4614008 -0.5848064
he 0.13860403 -0.40539074 -0.03130944 0.59604406 0.21092033 0.24243237 -0.62867194 -0.46523568 0.6351888 -0.30299863 0.099722855 0.18976095 -0.5476649 -0.33270243 0.29014283 -0.0797738 -0.018235886 0.29342696 -0.3450101 -0.24466784 0.5159518 -0.37021732 -0.41974288 -0.21766369 1.0360041 -0.4131756 -0.68147904 -0.26974088 0.17038459 0.29899254 -0.047849804 0.68126875 -0.08405458 0.24505721 0.1115562 0.13695316 -0.17722252 -0.077623345 0.3704578 -0.08385956 0.2295522 -0.49996063 0.046734992 -0.3889183 0.0860983 -0.9982031 0.4957709 -0.19956988 -0.3401021 0.188886
out 0.24027978 -0.22419539 -0.04870202 0.41469058 0.15648545 0.38868493 0.07165099 -0.36785287 0.9223846 -0.6197742 -0.046774913 -0.070766486 0.0744882 0.44022086 0.04664759 0.21812156 -0.11073525 -0.009952512 0.13582315 0.03822584 -0.30317548 0.16651326 -0.22466023 0.41118973 0.16051853 -0.2308797 0.26729885 -0.41992703 -0.28889263 -0.57285494 0.4749879 -0.44956008 -0.3627466 0.5405547 -0.088319026 0.45348832 -0.41813225 -0.3995915 0.27308407 0.19940272 -0.67332846 0.33238176 -0.552701 0.57851225 0.4407525 0.17418662 0.35004655 -0.4129714 0.63162345 -0.22983798
is 0.039553665 0.41498673 0.6839738 0.580333 -0.21943852 -0.36820382 0.12906504 0.18147227 0.4435472 0.3762216 -0.5131084 0.4140314 0.39407575 0.2152855 -0.11220631 0.43823355 0.34230816 -0.24053963 0.38332382 -0.1428313 0.049165316 0.14490572 0.10077956 0.41737482 0.013848164 -0.27747405 -0.012194592 0.31245112 -0.29196236 -0.3025772 0.15469985 -0.12184031 -0.4436944 0.25322706 0.12735568 0.119882554 -0.4045348 -0.22242537 -0.17299633 -0.35921085 0.426541 0.16116387 0.43681526 0.45474312 -0.2169605 0.32135922 1.0740266 -0.046600133 0.14227867 0.23801847
one 0.22306372 -0.3036692 -0.119921274 0.0047185556 0.39694598 -0.13468212 -0.015681531 -0.20182008 0.25007045 -0.14845057 0.26385805 -0.22296365 -0.35318053 0.20791474 -0.25153142 -0.05262756 0.6673201 0.08707283 0.12848824 0.066754475 -0.31074184 -0.30325055 -0.40148467 -1.1045666 0.13711424 -0.21321127 0.21632636 -0.115962885 0.5549928 -0.41961163 0.7352555 -0.036851052 0.36448717 0.25356767 -0.048560567 -0.1410681 -0.099594444 -0.42127866 -0.6636564 0.06274472 -0.19735155 -0.12442874 0.5480203 0.1428004 0.022570284 -0.007316839 0.1970436 0.27665165 0.13335831 -0.5212911
down -0.2600824 0.20875055 -0.31535223 -0.489058 0.11901211 0.15920325 0.001807411 -0.22749372 0.25672626 -0.27052122 -0.40851486 0.21323566 0.31679723 -0.5905256 0.010805775 -0.080834076 0.5553807 0.1219775 -0.10348267 -0.6562529 0.4421818 0.23176177 -0.33728895 -0.18425608 0.5463917 0.2505141 -0.13743196 -0.3502021 0.18894702 -0.5670897 -0.28755438 -0.34866965 -0.13946192 0.3555912 -0.5799638 -0.5328069 -0.17972116 -0.13429223 -0.46738395 -0.41522083 -0.8328907 0.12129627 -0.2706726 -0.37400705 -0.17526436 -0.289892 0.1847349 -0.01976975 0.4840685 -0.46475405
up 0.30361632 0.1325524 -0.2954119 -0.3125554 0.15538271 0.047751706 0.3055237 0.2238038 0.3814213 -0.33166915 -0.21774817 -0.6529837 -0.28915513 -0.5912103 -0.12037332 -0.1616142 -0.033152655 -0.5472203 0.46815908 -0.47379678 -0.3389195 -0.00721543 0.14461574 0.3323295 0.30401543 0.07887645 -0.36255264 -0.026087897 0.10194473 -0.436476 0.076551355 -0.4479114 0.32252935 0.6880338 -0.64437586 0.41884276 0.22676048 -0.56913984 0.21245444 -0.114013605 -0.52719545 0.08454452 0.3069731 -0.41824353 0.17100061 -0.84596074 0.19443096 0.09718673 0.26858664 -0.09197428
there 0.31629768 -0.21558602 0.57458043 -0.16387793 0.19314152 0.5142194 -0.60002583 0.28621697 -0.42331806 0.6566032 -0.32734483 0.9018042 -0.34216073 0.16449876 -0.26270837 -0.026630105 0.70314753 -0.15674391 0.03347602 0.42415187 -0.057845607 -0.29290605 0.44345596 -0.10229331 0.08762547 -0.115352474 0.14943902 -0.6609952 0.5964001 0.24857354 0.004809581 0.09071498 -0.38585353 -0.04337617 0.05894914 -0.14525618 -1.2336361 0.16437584 -0.22293545 0.26715374 -0.1007745 0.18892145 0.27551934 -0.030674757 0.15487596 -0.45143205 0.17663985 0.2815405 0.011666031 -0.4107889
